id,code,name,parent_id:id
wzfl1657,1,材料类,
wzfl1660,3,燃料类,
wzfl1667,2,轮胎类,
wzfl1678,4,北京现代配件,
wzfl1786,9,点钞收入类,
wzfl1836,5,景逸（出租车）,
wzfl1658,,汽配类,wzfl1657
wzfl1666,,五交化类,wzfl1657
wzfl1676,30,轮胎,wzfl1667
wzfl1677,29,燃料,wzfl1660
wzfl1679,,索纳塔2.0,wzfl1678
wzfl1680,,依兰特,wzfl1678
wzfl1681,,途胜,wzfl1678
wzfl1684,,油品类,wzfl1678
wzfl1740,B,高级轮胎,wzfl1667
wzfl1741,A,高级润滑油,wzfl1660
wzfl1801,,人民币,wzfl1786
wzfl1837,37,发动机,wzfl1836
wzfl1,01,发动机,wzfl1658
wzfl218,02,底盘,wzfl1658
wzfl439,03,车辆电器,wzfl1658
wzfl660,04,车厢,wzfl1658
wzfl804,06,油封,wzfl1658
wzfl1189,07,轴承,wzfl1666
wzfl1192,08,胶条,wzfl1666
wzfl1193,09,玻璃,wzfl1666
wzfl1194,10,工具,wzfl1666
wzfl1256,11,量具,wzfl1666
wzfl1285,12,刃具,wzfl1666
wzfl1310,13,五金,wzfl1666
wzfl1311,14,电子材料,wzfl1666
wzfl1312,15,螺母,wzfl1666
wzfl1313,16,螺栓,wzfl1666
wzfl1324,17,弹簧垫,wzfl1666
wzfl1325,18,平垫,wzfl1666
wzfl1326,19,开口销,wzfl1666
wzfl1327,20,键销,wzfl1666
wzfl1328,21,铝材,wzfl1666
wzfl1329,22,木材,wzfl1666
wzfl1330,23,蓄电池,wzfl1666
wzfl1331,24,钢材,wzfl1666
wzfl1332,25,铜材,wzfl1666
wzfl1333,26,化工,wzfl1666
wzfl1334,27,油漆,wzfl1666
wzfl1335,28,设备,wzfl1666
wzfl1338,31,空调车制冷系统,wzfl1658
wzfl1351,32,门泵,wzfl1658
wzfl1352,33,铆钉,wzfl1666
wzfl1353,34,垫子,wzfl1658
wzfl1354,35,机加工件,wzfl1666
wzfl1355,36,冲压件,wzfl1666
wzfl1662,,汽油,wzfl1677
wzfl1664,,柴油,wzfl1677
wzfl1665,,润滑油,wzfl1677
wzfl1668,,新轮胎,wzfl1676
wzfl1669,,翻新胎,wzfl1676
wzfl1670,,补胎,wzfl1676
wzfl1675,,其他,wzfl1676
wzfl1706,90,东盛自制件,wzfl1658
wzfl2002,,其他,wzfl1677
wzfl2,0101,CY6102BQH1F发动机,wzfl1
wzfl14,0102,CY6102BZQ发动机,wzfl1
wzfl26,0103,YC6108发动机,wzfl1
wzfl38,0104,YC6112BZQ,wzfl1
wzfl50,0105,EQ6100-I发动机,wzfl1
wzfl62,0106,EQ6100-I3发动机,wzfl1
wzfl74,0107,EQ6100发动机,wzfl1
wzfl86,0108,CA6100发动机,wzfl1
wzfl98,0109,柳微462Q发动机,wzfl1
wzfl110,0110,五十铃465发动机,wzfl1
wzfl122,0111,其他发动机,wzfl1
wzfl146,0113,YC6108ZQ发动机,wzfl1
wzfl158,0114,YC4110ZQ发动机(CJ6108G1C2HK车型用),wzfl1
wzfl170,0115,YC6108ZQB发动机(DD6111HS加长用),wzfl1
wzfl182,0116,YC4110ZQ发动机(长江CJ6830G5C2HK车型用),wzfl1
wzfl194,0117,YC4110ZQ发动机(依维柯CJ6830G5C2HK车型用),wzfl1
wzfl206,0118,CY4102BQ,wzfl1
wzfl230,0222,CJ 6100GIQIYH底盘,wzfl218
wzfl241,0223,CFC6100GDP底盘,wzfl218
wzfl252,0224,DD6101HS底盘,wzfl218
wzfl263,0225,DD6103HSC底盘,wzfl218
wzfl274,0226,GZK6100AD底盘,wzfl218
wzfl285,0227,WG6800-3底盘,wzfl218
wzfl296,0228,WG6800E-4底盘,wzfl218
wzfl307,0229,WG6800E-1底盘,wzfl218
wzfl318,0230,CK2645底盘,wzfl218
wzfl329,0231,其他,wzfl218
wzfl340,0232,柳微,wzfl218
wzfl351,0233,其它,wzfl218
wzfl362,0234,锡柴杭汽,wzfl218
wzfl373,0235,EQ153- CJ6100G2C10HK底盘,wzfl218
wzfl384,0236,EQ140B2CK(YC4110ZQ),wzfl218
wzfl395,0237,EQ153-DD6111HS底盘(加长),wzfl218
wzfl406,0238,长江CJ6830G5C2HK车型底盘,wzfl218
wzfl417,0239,依维柯CJ6101G5C13H(EQ153)底盘,wzfl218
wzfl428,0240,依维柯CJ6830G5C2HK底盘,wzfl218
wzfl440,0361,CFC6100GD3电器,wzfl439
wzfl450,0362,CJ 6100GIQIYH电器,wzfl439
wzfl460,0363,CFC6100GDP电器,wzfl439
wzfl470,0364,DD6101HS电器,wzfl439
wzfl480,0365,DD6103HSC 电器,wzfl439
wzfl490,0366,GZK6100AD电器,wzfl439
wzfl500,0367,WG6800-3电器,wzfl439
wzfl510,0368,WG6800E-4电器,wzfl439
wzfl520,0369,WG6800E-1电器,wzfl439
wzfl530,0370,CKZ6965电器,wzfl439
wzfl540,0371,CK2643电器,wzfl439
wzfl550,0372,柳微电器,wzfl439
wzfl560,0373,"6108玉柴(普通,三公司)",wzfl439
wzfl570,0374,其它电器,wzfl439
wzfl580,0375,重柴杭汽电器,wzfl439
wzfl590,0376,CJ6100G2C10HK(EQ153)电器,wzfl439
wzfl610,0378,DD6111HS电器,wzfl439
wzfl630,0380,依维柯CJ6101G5C13H电器,wzfl439
wzfl640,0381,依维柯CJ6830G5C2HK电器,wzfl439
wzfl650,0382,牡丹MD6602AD5 电器,wzfl439
wzfl661,0441,CFC6100GD3车身,wzfl660
wzfl668,0442,CJ6100GIQIYH车身,wzfl660
wzfl675,0443,CFC6100GDP车身,wzfl660
wzfl682,0444,DD6101HS车身,wzfl660
wzfl689,0445,DD6103HSC车身,wzfl660
wzfl696,0446,GZK6100AD车身,wzfl660
wzfl703,0447,WG6800-3车身,wzfl660
wzfl710,0448,WG6800E-4车身,wzfl660
wzfl717,0449,WG6800E-1车身,wzfl660
wzfl724,0450,CK2643,wzfl660
wzfl731,0451,CKZ6965车身,wzfl660
wzfl738,0452,柳微车身,wzfl660
wzfl745,0453,牡丹MD6602AD5车身,wzfl660
wzfl752,0454,其它车身,wzfl660
wzfl759,0455,依维柯CJ6830G5C2HK车身,wzfl660
wzfl766,0456,CJ6100G2C10HK(EQ153),wzfl660
wzfl773,0457,CJ6108G1C2HK(4110ZQ),wzfl660
wzfl780,0458,DD6111HS车身,wzfl660
wzfl794,0460,依维柯CJ6101G5C13H车身,wzfl660
wzfl801,05,皮带,wzfl804
wzfl805,0600,通用油封,wzfl804
wzfl817,0601,CY6102发动机油封,wzfl804
wzfl829,0602,CY6102ZQ发动机油封,wzfl804
wzfl841,0603,YC6108发动机油封,wzfl804
wzfl853,0604,KIAJS-2油封油封,wzfl804
wzfl865,0605,EQ6100-I发动机油封,wzfl804
wzfl877,0606,EQ6100-I3发动机油封,wzfl804
wzfl889,0607,EQ6100发动机油封,wzfl804
wzfl901,0608,CA6100发动机油封,wzfl804
