id,inter_code,name,categ_id:id,uom_id:id,uom_po_id:id,type
wz1,011,发动机总成,wzfl3,jldw8,jldw8,product
wz2,001,气缸体,wzfl4,jldw8,jldw8,product
wz3,002,气缸套,wzfl4,jldw8,jldw8,product
wz4,003,齿轮室盖,wzfl4,jldw8,jldw8,product
wz5,004,齿轮室,wzfl4,jldw8,jldw8,product
wz6,005,发动机前支架体,wzfl4,jldw8,jldw8,product
wz8,012,油底壳H145202,wzfl4,jldw8,jldw8,product
wz22,015,汽缸双头螺栓,wzfl5,jldw10,jldw10,product
wz25,001,曲轴,wzfl6,jldw10,jldw10,product
wz26,005,飞轮,wzfl6,jldw8,jldw8,product
wz27,002,活塞　+0.00,wzfl6,jldw8,jldw8,product
wz28,003,活塞环　+0.00,wzfl6,jldw6,jldw6,product
wz29,004,飞轮盘总成,wzfl6,jldw8,jldw8,product
wz30,007,飞轮螺丝,wzfl6,jldw28,jldw28,product
wz33,009,活塞销衬套,wzfl6,jldw8,jldw8,product
wz34,010,连杆总成,wzfl6,jldw3,jldw3,product
wz35,006,飞轮齿圈,wzfl6,jldw8,jldw8,product
wz36,012,连杆轴瓦 +0.25,wzfl6,jldw5,jldw5,product
wz38,013,连杆轴瓦 +0.50,wzfl6,jldw5,jldw5,product
wz39,014,连杆轴瓦 +0.75,wzfl6,jldw5,jldw5,product
wz40,015,曲轴瓦 +0.00,wzfl6,jldw6,jldw6,product
wz41,016,曲轴瓦+0.25,wzfl6,jldw6,jldw6,product
wz44,019,曲轴皮带轮彀,wzfl6,jldw8,jldw8,product
wz58,011,连杆轴瓦 +0.00,wzfl6,jldw5,jldw5,product
wz124,004,喷油器总成,wzfl8,jldw8,jldw8,product
wz125,005,出油阀座,wzfl8,jldw8,jldw8,product
wz126,006,叶片环,wzfl8,jldw24,jldw24,product
wz127,007,高压油泵总成,wzfl8,jldw8,jldw8,product
wz128,008,油泵曲轴,wzfl8,jldw8,jldw8,product
wz129,009,喷油嘴偶件,wzfl8,jldw8,jldw8,product
wz131,011,油泵柱塞偶件,wzfl8,jldw8,jldw8,product
wz132,012,油泵提前器,wzfl8,jldw8,jldw8,product
wz133,013,油泵联结盘,wzfl8,jldw8,jldw8,product
wz135,015,高压油管,wzfl8,jldw28,jldw28,product
wz136,016,出油阀,wzfl8,jldw10,jldw10,product
wz137,017,油阀紧座胶圈,wzfl8,jldw8,jldw8,product
wz138,018,油阀凹垫,wzfl8,jldw8,jldw8,product
wz139,019,油门拉线9.27M,wzfl8,jldw10,jldw10,product
wz151,031,熄火开关,wzfl8,jldw8,jldw8,product
wz153,033,花键套,wzfl8,jldw8,jldw8,product
wz154,034,机油泵连接轴,wzfl8,jldw8,jldw8,product
wz155,035,油箱支架  （GZK6100AD）,wzfl8,jldw8,jldw8,product
wz156,036,油箱（底地板常州）,wzfl8,jldw8,jldw8,product
wz157,037,柴油回油管,wzfl8,jldw10,jldw10,product
wz158,038,油箱(GZK6100AD),wzfl8,jldw8,jldw8,product
wz159,039,机油泵回油管,wzfl8,jldw10,jldw10,product
wz163,040,喷油咀螺母,wzfl8,jldw8,jldw8,product
wz215,001,机油泵传动轴,wzfl9,jldw10,jldw10,product
wz221,008,机油散热器盖,wzfl9,jldw8,jldw8,product
wz234,001,水泵总成,wzfl10,jldw8,jldw8,product
wz235,002,水泵皮带轮,wzfl10,jldw8,jldw8,product
wz236,003,修复水箱,wzfl10,jldw8,jldw8,product
wz237,004,节温器座,wzfl10,jldw8,jldw8,product
wz238,005,小回水弯管,wzfl10,jldw10,jldw10,product
wz239,006,水箱总成（广客）,wzfl10,jldw8,jldw8,product
wz240,007,水箱风扇皮带(单槽),wzfl10,jldw8,jldw8,product
wz243,010,中间过桥轮(广州),wzfl10,jldw8,jldw8,product
wz244,011,中间皮带轮  （常州）,wzfl10,jldw8,jldw8,product
wz245,012,水箱总成（DD6101HS）,wzfl10,jldw8,jldw8,product
wz246,013,中间过渡轮总成,wzfl10,jldw8,jldw8,product
wz247,014,膨胀水箱（广客专用）,wzfl10,jldw8,jldw8,product
wz248,015,风扇叶(正向),wzfl10,jldw8,jldw8,product
wz252,019,风扇座轮毂,wzfl10,jldw8,jldw8,product
wz253,020,风扇皮带轮总成  (常州),wzfl10,jldw8,jldw8,product
wz259,026,水箱张紧轮,wzfl10,jldw8,jldw8,product
wz324,001,发动机总成,wzfl15,jldw8,jldw8,product
wz325,001,气缸体,wzfl16,jldw8,jldw8,product
wz326,002,飞轮壳,wzfl16,jldw6,jldw6,product
wz328,004,齿轮室盖,wzfl16,jldw8,jldw8,product
wz329,005,缸套,wzfl16,jldw8,jldw8,product
wz330,001,汽缸床,wzfl17,jldw31,jldw31,product
wz331,002,缸盖水堵,wzfl17,jldw8,jldw8,product
wz332,003,缸盖水堵,wzfl17,jldw8,jldw8,product
wz333,001,曲轴,wzfl18,jldw10,jldw10,product
wz334,002,活塞,wzfl18,jldw8,jldw8,product
wz335,003,飞轮盘总成,wzfl18,jldw8,jldw8,product
wz336,004,曲轴皮带盘,wzfl18,jldw8,jldw8,product
wz337,005,活塞环,wzfl18,jldw6,jldw6,product
wz338,006,曲轴瓦＋0.00,wzfl18,jldw6,jldw6,product
wz339,007,连杆轴瓦＋0.00,wzfl18,jldw5,jldw5,product
wz340,008,飞轮齿圈,wzfl18,jldw8,jldw8,product
wz341,001,呼吸器,wzfl19,jldw8,jldw8,product
wz342,002,进排气支管,wzfl19,jldw10,jldw10,product
wz343,003,消声器,wzfl19,jldw8,jldw8,product
wz344,004,进气门,wzfl19,jldw8,jldw8,product
wz345,005,排气门,wzfl19,jldw8,jldw8,product
wz346,006,进气门座圈,wzfl19,jldw8,jldw8,product
wz347,007,排气门座圈,wzfl19,jldw8,jldw8,product
wz348,008,气门导管,wzfl19,jldw8,jldw8,product
wz349,009,双消声气弯管,wzfl19,jldw8,jldw8,product
wz351,002,提前器,wzfl20,jldw8,jldw8,product
wz352,003,联轴器,wzfl20,jldw8,jldw8,product
wz354,005,出油阀,wzfl20,jldw8,jldw8,product
wz355,006,柱塞,wzfl20,jldw8,jldw8,product
wz356,007,柴油回油管,wzfl20,jldw10,jldw10,product
wz357,008,高压油泵传动轴,wzfl20,jldw8,jldw8,product
wz358,009,高压油泵总成,wzfl20,jldw8,jldw8,product
wz359,010,油嘴偶件,wzfl20,jldw8,jldw8,product
wz360,011,喷油器总成,wzfl20,jldw8,jldw8,product
wz361,012,高压油泵回油管,wzfl20,jldw10,jldw10,product
wz362,013,飞锤,wzfl20,jldw8,jldw8,product
wz364,001,风扇皮带轮总成,wzfl22,jldw8,jldw8,product
wz365,002,过度轮总成,wzfl22,jldw8,jldw8,product
wz366,003,油门拉线  9.5M,wzfl22,jldw8,jldw8,product
wz368,005,水泵总成,wzfl22,jldw8,jldw8,product
wz371,001,增压器总成,wzfl25,jldw8,jldw8,product
wz372,002,增压器进油管,wzfl25,jldw10,jldw10,product
wz373,001,发动机总成,wzfl27,jldw8,jldw8,product
wz374,001,气缸体,wzfl28,jldw8,jldw8,product
wz376,003,发动机后支架胶垫,wzfl28,jldw8,jldw8,product
wz377,004,气门室盖,wzfl28,jldw8,jldw8,product
wz378,005,缸体放水开关,wzfl28,jldw8,jldw8,product
wz379,006,气缸套,wzfl28,jldw8,jldw8,product
wz380,007,齿轮室盖,wzfl28,jldw8,jldw8,product
wz381,008,齿轮室,wzfl28,jldw8,jldw8,product
wz382,009,齿轮室盖垫,wzfl28,jldw8,jldw8,product
wz384,011,飞轮盘总成,wzfl28,jldw8,jldw8,product
wz385,012,飞轮,wzfl28,jldw8,jldw8,product
wz386,013,飞轮齿圈,wzfl28,jldw8,jldw8,product
wz387,014,飞轮螺丝及帽,wzfl28,jldw8,jldw8,product
wz388,015,飞轮锁片,wzfl28,jldw24,jldw24,product
wz389,016,油底壳,wzfl28,jldw8,jldw8,product
wz390,017,飞轮壳,wzfl28,jldw8,jldw8,product
wz391,018,油底壳放油螺丝,wzfl28,jldw18,jldw18,product
wz392,019,气缸床,wzfl28,jldw6,jldw6,product
wz393,001,气缸盖总成,wzfl29,jldw8,jldw8,product
wz394,002,气缸盖,wzfl29,jldw8,jldw8,product
wz395,003,缸盖罩密封圈,wzfl29,jldw8,jldw8,product
wz396,004,缸盖罩罗栓垫,wzfl29,jldw8,jldw8,product
wz398,006,缸盖水塞,wzfl29,jldw8,jldw8,product
wz400,008,气缸床,wzfl29,jldw31,jldw31,product
wz401,009,缸盖螺栓（长）,wzfl29,jldw8,jldw8,product
wz402,010,缸盖罗栓（短）,wzfl29,jldw8,jldw8,product
wz403,011,缸盖罩垫片,wzfl29,jldw8,jldw8,product
