id,name,category_id:id
jldw1,kg,product.product_uom_categ_kgm
jldw2,L,product.product_uom_categ_vol
jldw3,把,product.product_uom_categ_unit
jldw4,包,product.product_uom_categ_unit
jldw5,对,product.product_uom_categ_unit
jldw6,付,product.product_uom_categ_unit
jldw7,副,product.product_uom_categ_unit
jldw8,个,product.product_uom_categ_unit
jldw9,各,product.product_uom_categ_unit
jldw10,根,product.product_uom_categ_unit
jldw11,公斤,product.product_uom_categ_kgm
jldw12,盒,product.product_uom_categ_unit
jldw13,架,product.product_uom_categ_unit
jldw14,件,product.product_uom_categ_unit
jldw15,卷,product.product_uom_categ_unit
jldw16,颗,product.product_uom_categ_unit
jldw17,块,product.product_uom_categ_unit
jldw18,枚,product.product_uom_categ_unit
jldw19,米,product.uom_categ_length
jldw20,片,product.product_uom_categ_unit
jldw21,瓶,product.product_uom_categ_unit
jldw22,升,product.product_uom_categ_kgm
jldw23,台,product.product_uom_categ_unit
jldw24,套,product.product_uom_categ_unit
jldw25,条,product.product_uom_categ_unit
jldw26,桶,product.product_uom_categ_unit
jldw27,张,product.product_uom_categ_unit
jldw28,支,product.product_uom_categ_unit
jldw29,只,product.product_uom_categ_unit
jldw30,组,product.product_uom_categ_unit
jldw31,座,product.product_uom_categ_unit
jldw32,立方,product.product_uom_categ_vol
jldw33,平方,product.product_uom_categ_vol
jldw34,元,product.product_uom_categ_unit
jldw35,厅,product.product_uom_categ_vol
